ph,hardness,tds,cl,thm,sulfate,conduct,carbon,turbid,consume
,213.0002175,21687.47345,6.901040767,57.345645,,383.7478834,11.79324634,3.242545448,1
5.84111884,194.6168939,17721.95956,5.646296962,93.07069068,410.358673,622.9635748,17.6295407,4.237560418,0
7.380104835,237.9226372,16862.54348,7.101816885,92.86455713,306.182925,478.654518,13.25447539,5.030452202,0
6.985303737,219.5864399,16470.95219,6.445512853,70.60068259,339.0539915,492.9030215,15.80444893,3.081799008,1
6.381977105,211.9172765,20709.27976,6.171162005,74.52980588,278.949273,525.0754779,16.68407414,4.99189599,0
8.892998479,224.078183,22960.18064,8.982036449,59.57721177,274.6894585,466.2454797,9.693048967,3.619132805,1
7.808856018,193.5532116,17329.80216,8.061361988,,,392.4495796,19.90322518,2.798242842,1
7.240271791,213.4231392,23432.96269,5.927868127,60.57108128,328.359206,325.3877076,14.03355283,3.832597167,0
7.611609817,222.2522695,25063.68301,8.561123755,68.39541321,287.9481232,505.2654826,18.27375696,2.87326121,0
10.15544017,300.2924758,12652.36298,6.655126363,67.91978869,398.6477857,487.459131,9.347633986,5.00246726,0
6.037428194,227.0339937,12988.79123,8.476905391,41.19050736,392.3805285,306.3862826,7.122391113,3.594217364,1
5.897391121,172.0343853,30575.35714,8.649614737,74.54398067,393.5548922,426.5058343,16.31165824,2.961602418,0
9.011588754,228.9195192,25208.15184,6.767010378,,,380.1452048,15.5183225,2.897292531,0
6.446252032,204.2535631,11104.25051,7.648612893,,,418.0412196,16.62562738,4.976957858,1
7.514835666,215.4395235,17017.42996,7.417040992,66.03724574,335.6524539,483.6580284,14.53285431,4.29973216,0
7.197795992,168.6409754,12763.26789,6.89759414,65.74671735,,566.2506937,12.43757097,3.844013287,0
7.309596474,193.4725961,19343.14951,7.664060567,111.5954477,306.6854553,426.5619276,12.84436555,4.048202463,0
,250.572683,24538.43729,7.287604793,60.15973017,345.1099622,426.1037151,13.98415569,6.099631873,0
5.827541212,191.0049304,25863.34324,4.823831505,48.65810862,316.0255129,370.3572882,18.36185806,3.179128741,1
5.090035332,174.2663575,34094.05718,6.741909445,48.5462575,376.6636079,526.3610816,17.10756313,4.83886228,0
9.241197563,223.6913502,21610.5813,4.116183136,65.55070439,,480.0130563,12.72542758,5.265728858,0
6.044671753,150.6710211,13593.60002,6.456238477,43.56429261,401.737392,392.2067414,19.82739182,4.914883756,1
7.138374317,184.7452288,22575.18858,6.907714498,66.13698819,,504.8656928,18.50376189,4.144872251,0
8.858401531,254.6175187,9624.300462,7.954015627,78.10854982,348.4081949,344.3033625,7.935467758,5.525726338,0
6.31407747,124.8479917,31114.63565,5.713940404,73.10199735,,396.6729763,18.42322647,4.363865763,0
10.19941269,256.7043382,28703.75114,7.940595236,,326.4626658,552.1621808,8.802846639,4.384868014,0
9.764658134,119.1640103,38781.45742,9.334632093,59.19317637,380.2306339,512.3318463,14.96773301,3.024571178,0
6.45278075,190.3213908,22034.9546,6.914692835,67.21240542,,353.8976701,12.15805571,3.425065096,0
5.400301781,140.7390623,17266.59342,10.05685248,56.93190645,328.3582407,472.8740733,11.25638117,4.82478639,0
9.920691059,202.817483,9973.934059,6.882248307,71.83362396,337.3505291,333.1924699,23.91760126,4.69070723,0
7.669012537,205.5956353,11579.44169,4.263279092,83.24380782,356.1365179,407.7216133,10.82904486,4.589512953,1
4.126528715,125.4748835,11215.9459,5.366011336,86.43365536,261.4447977,445.2414569,18.57592068,4.460200984,0
4.429378735,256.2125652,8746.901717,9.010332225,,,432.1079346,16.30747374,4.271167637,1
9.323583858,212.7106698,15751.1753,5.501070114,74.55428506,296.848512,399.7737042,10.62226549,3.006650222,0
